R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
9,0.83,Tailored Approach,2.461847389558233,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
10,0.84,Tailored Approach,2.5515873015873014,0.2,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7096666666666666,1.8554260820165016
1,0.4066666666666667,CPI,1.0,0.4,0.7,,,,,,,
2,0.5166666666666667,CPI,1.2129032258064516,0.4,0.7,,,,,,,
3,0.5866666666666667,CPI,1.4261363636363635,0.4,0.7,,,,,,,
4,0.6266666666666667,CPI,1.5904255319148937,0.4,0.7,,,,,,,
5,0.66,CPI,1.7626262626262625,0.4,0.7,,,,,,,
6,0.69,CPI,1.9468599033816425,0.4,0.7,,,,,,,
7,0.7166666666666667,CPI,2.1348837209302327,0.4,0.7,,,,,,,
8,0.7333333333333333,CPI,2.268181818181818,0.4,0.7,,,,,,,
9,0.75,CPI,2.417777777777778,0.4,0.7,,,,,,,
10,0.77,CPI,2.6147186147186146,0.4,0.7,,,,,,,
1,0.4666666666666667,Tailored Approach,1.0,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
2,0.56,Tailored Approach,1.1666666666666667,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
3,0.6366666666666667,Tailored Approach,1.387434554973822,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
4,0.7,Tailored Approach,1.6238095238095238,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
5,0.7366666666666667,Tailored Approach,1.7918552036199096,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
6,0.7533333333333333,Tailored Approach,1.8849557522123894,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
7,0.7766666666666666,Tailored Approach,2.03862660944206,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
8,0.7866666666666666,Tailored Approach,2.114406779661017,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
9,0.8233333333333334,Tailored Approach,2.4210526315789473,0.4,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.707,1.791073543280771
