,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
329,SPH,10,0.8233333333333334,1.8218623481781377,1,,,,0.3,,
330,SPH,1,0.62,1.0,1,,,,0.35,,
331,SPH,2,0.6766666666666666,1.083743842364532,1,,,,0.35,,
332,SPH,3,0.71,1.1737089201877935,1,,,,0.35,,
333,SPH,4,0.74,1.2882882882882882,1,,,,0.35,,
334,SPH,5,0.7666666666666667,1.4173913043478261,1,,,,0.35,,
335,SPH,6,0.78,1.4957264957264957,1,,,,0.35,,
336,SPH,7,0.7933333333333333,1.588235294117647,1,,,,0.35,,
337,SPH,8,0.8033333333333333,1.6680497925311204,1,,,,0.35,,
338,SPH,9,0.81,1.728395061728395,1,,,,0.35,,
339,SPH,10,0.8166666666666667,1.7959183673469388,1,,,,0.35,,
340,SPH,1,0.62,1.0,1,,,,0.4,,
341,SPH,2,0.6766666666666666,1.083743842364532,1,,,,0.4,,
342,SPH,3,0.71,1.1737089201877935,1,,,,0.4,,
343,SPH,4,0.74,1.2882882882882882,1,,,,0.4,,
344,SPH,5,0.7666666666666667,1.4173913043478261,1,,,,0.4,,
345,SPH,6,0.78,1.4957264957264957,1,,,,0.4,,
346,SPH,7,0.7933333333333333,1.588235294117647,1,,,,0.4,,
347,SPH,8,0.8,1.6416666666666666,1,,,,0.4,,
348,SPH,9,0.8066666666666666,1.7024793388429753,1,,,,0.4,,
349,SPH,10,0.8133333333333334,1.7704918032786885,1,,,,0.4,,
350,SPH+CPI,1,0.59,1.0,1,,,,0.25,0.3,0.7
351,SPH+CPI,2,0.67,1.1194029850746268,1,,,,0.25,0.3,0.7
352,SPH+CPI,3,0.7,1.2,1,,,,0.25,0.3,0.7
353,SPH+CPI,4,0.73,1.3150684931506849,1,,,,0.25,0.3,0.7
354,SPH+CPI,5,0.75,1.4133333333333333,1,,,,0.25,0.3,0.7
355,SPH+CPI,6,0.7666666666666667,1.5130434782608695,1,,,,0.25,0.3,0.7
356,SPH+CPI,7,0.7833333333333333,1.6297872340425532,1,,,,0.25,0.3,0.7
357,SPH+CPI,8,0.8033333333333333,1.7883817427385893,1,,,,0.25,0.3,0.7
358,SPH+CPI,9,0.8133333333333334,1.8770491803278688,1,,,,0.25,0.3,0.7
359,SPH+CPI,10,0.8166666666666667,1.910204081632653,1,,,,0.25,0.3,0.7
360,SPH+CPI,1,0.5866666666666667,1.0,1,,,,0.25,0.3,0.75
361,SPH+CPI,2,0.6533333333333333,1.1020408163265305,1,,,,0.25,0.3,0.75
362,SPH+CPI,3,0.6966666666666667,1.2200956937799043,1,,,,0.25,0.3,0.75
363,SPH+CPI,4,0.7266666666666667,1.334862385321101,1,,,,0.25,0.3,0.75
364,SPH+CPI,5,0.75,1.448888888888889,1,,,,0.25,0.3,0.75
